,bufcap,bandwidth,rtt,trial,cc,goodput_
0,10000,1000,100,1,bbr,234648.0
1,10000,1000,100,1,cubic,240226.0
2,10000,1000,100,2,bbr,235628.0
3,10000,1000,100,2,cubic,221333.0
4,10000,1000,100,3,bbr,236161.0
5,10000,1000,100,3,cubic,241001.0
6,10000,1000,100,4,bbr,235713.0
7,10000,1000,100,4,cubic,233719.0
8,10000,1000,100,5,bbr,235165.0
9,10000,1000,100,5,cubic,220566.0
10,10000,1000,10,1,bbr,944059.0
11,10000,1000,10,1,cubic,958291.0
12,10000,1000,10,2,bbr,943714.0
13,10000,1000,10,2,cubic,959533.0
14,10000,1000,10,3,bbr,943905.0
15,10000,1000,10,3,cubic,959612.0
16,10000,1000,10,4,bbr,943762.0
17,10000,1000,10,4,cubic,959759.0
18,10000,1000,10,5,bbr,943479.0
19,10000,1000,10,5,cubic,960483.0
20,10000,1000,150,1,bbr,156406.0
21,10000,1000,150,1,cubic,149026.0
22,10000,1000,150,2,bbr,154211.0
23,10000,1000,150,2,cubic,159165.0
24,10000,1000,150,3,bbr,155376.0
25,10000,1000,150,3,cubic,151204.0
26,10000,1000,150,4,bbr,155393.0
27,10000,1000,150,4,cubic,150738.0
28,10000,1000,150,5,bbr,155407.0
29,10000,1000,150,5,cubic,149351.0
30,10000,1000,200,1,bbr,115116.0
31,10000,1000,200,1,cubic,115304.0
32,10000,1000,200,2,bbr,113958.0
33,10000,1000,200,2,cubic,100714.0
34,10000,1000,200,3,bbr,113980.0
35,10000,1000,200,3,cubic,108075.0
36,10000,1000,200,4,bbr,115012.0
37,10000,1000,200,4,cubic,119569.0
38,10000,1000,200,5,bbr,115852.0
39,10000,1000,200,5,cubic,101161.0
40,10000,1000,25,1,bbr,948551.0
41,10000,1000,25,1,cubic,955762.0
42,10000,1000,25,2,bbr,944608.0
43,10000,1000,25,2,cubic,955733.0
44,10000,1000,25,3,bbr,942724.0
45,10000,1000,25,3,cubic,745153.0
46,10000,1000,25,4,bbr,944490.0
47,10000,1000,25,4,cubic,812952.0
48,10000,1000,25,5,bbr,944084.0
49,10000,1000,25,5,cubic,786485.0
50,10000,1000,50,1,bbr,475033.0
51,10000,1000,50,1,cubic,468415.0
52,10000,1000,50,2,bbr,475253.0
53,10000,1000,50,2,cubic,458694.0
54,10000,1000,50,3,bbr,474990.0
55,10000,1000,50,3,cubic,473168.0
56,10000,1000,50,4,bbr,475743.0
57,10000,1000,50,4,cubic,459708.0
58,10000,1000,50,5,bbr,472141.0
59,10000,1000,50,5,cubic,460481.0
60,10000,1000,5,1,bbr,945619.0
61,10000,1000,5,1,cubic,961841.0
62,10000,1000,5,2,bbr,945533.0
63,10000,1000,5,2,cubic,962006.0
64,10000,1000,5,3,bbr,945861.0
65,10000,1000,5,3,cubic,961149.0
66,10000,1000,5,4,bbr,945585.0
67,10000,1000,5,4,cubic,961251.0
68,10000,1000,5,5,bbr,945614.0
69,10000,1000,5,5,cubic,961590.0
70,10000,1000,75,1,bbr,316023.0
71,10000,1000,75,1,cubic,317330.0
72,10000,1000,75,2,bbr,316093.0
73,10000,1000,75,2,cubic,306175.0
74,10000,1000,75,3,bbr,316232.0
75,10000,1000,75,3,cubic,319732.0
76,10000,1000,75,4,bbr,317460.0
77,10000,1000,75,4,cubic,293997.0
78,10000,1000,75,5,bbr,316381.0
79,10000,1000,75,5,cubic,293480.0
80,10000,100,100,1,bbr,96029.0
81,10000,100,100,1,cubic,86640.0
82,10000,100,100,2,bbr,96291.0
83,10000,100,100,2,cubic,130405.0
84,10000,100,100,3,bbr,96344.0
85,10000,100,100,3,cubic,87455.0
86,10000,100,100,4,bbr,96184.0
87,10000,100,100,4,cubic,88425.0
88,10000,100,100,5,bbr,95718.0
89,10000,100,100,5,cubic,128801.0
90,10000,100,10,1,bbr,99318.0
91,10000,100,10,1,cubic,99661.0
92,10000,100,10,2,bbr,99261.0
93,10000,100,10,2,cubic,99686.0
94,10000,100,10,3,bbr,99338.0
95,10000,100,10,3,cubic,99716.0
96,10000,100,10,4,bbr,99275.0
97,10000,100,10,4,cubic,99686.0
98,10000,100,10,5,bbr,99247.0
99,10000,100,10,5,cubic,99716.0
100,10000,100,150,1,bbr,94560.0
101,10000,100,150,1,cubic,104772.0
102,10000,100,150,2,bbr,95007.0
103,10000,100,150,2,cubic,111699.0
104,10000,100,150,3,bbr,94296.0
105,10000,100,150,3,cubic,111638.0
106,10000,100,150,4,bbr,94234.0
107,10000,100,150,4,cubic,83099.0
108,10000,100,150,5,bbr,94531.0
109,10000,100,150,5,cubic,94653.0
110,10000,100,200,1,bbr,90938.0
111,10000,100,200,1,cubic,83520.0
112,10000,100,200,2,bbr,91189.0
113,10000,100,200,2,cubic,83826.0
114,10000,100,200,3,bbr,90694.0
115,10000,100,200,3,cubic,82547.0
116,10000,100,200,4,bbr,90893.0
117,10000,100,200,4,cubic,81974.0
118,10000,100,200,5,bbr,91287.0
119,10000,100,200,5,cubic,84962.0
120,10000,100,25,1,bbr,98802.0
121,10000,100,25,1,cubic,112463.0
122,10000,100,25,2,bbr,98556.0
123,10000,100,25,2,cubic,101825.0
124,10000,100,25,3,bbr,98589.0
125,10000,100,25,3,cubic,102407.0
126,10000,100,25,4,bbr,98673.0
127,10000,100,25,4,cubic,114799.0
128,10000,100,25,5,bbr,98691.0
129,10000,100,25,5,cubic,104709.0
130,10000,100,50,1,bbr,97341.0
131,10000,100,50,1,cubic,136599.0
132,10000,100,50,2,bbr,97585.0
133,10000,100,50,2,cubic,122169.0
134,10000,100,50,3,bbr,97382.0
135,10000,100,50,3,cubic,116213.0
136,10000,100,50,4,bbr,97425.0
137,10000,100,50,4,cubic,144821.0
138,10000,100,50,5,bbr,97418.0
139,10000,100,50,5,cubic,120523.0
140,10000,100,5,1,bbr,99582.0
141,10000,100,5,1,cubic,100501.0
142,10000,100,5,2,bbr,99532.0
143,10000,100,5,2,cubic,100514.0
144,10000,100,5,3,bbr,99555.0
145,10000,100,5,3,cubic,100499.0
146,10000,100,5,4,bbr,99562.0
147,10000,100,5,4,cubic,100516.0
148,10000,100,5,5,bbr,99599.0
149,10000,100,5,5,cubic,100542.0
150,10000,100,75,1,bbr,98723.0
151,10000,100,75,1,cubic,114751.0
152,10000,100,75,2,bbr,98956.0
153,10000,100,75,2,cubic,115261.0
154,10000,100,75,3,bbr,98431.0
155,10000,100,75,3,cubic,102628.0
156,10000,100,75,4,bbr,97985.0
157,10000,100,75,4,cubic,119633.0
158,10000,100,75,5,bbr,98303.0
159,10000,100,75,5,cubic,115636.0
160,10000,10,100,1,bbr,16075.0
161,10000,10,100,1,cubic,129104.0
162,10000,10,100,2,bbr,16169.0
163,10000,10,100,2,cubic,15959.0
164,10000,10,100,3,bbr,15464.0
165,10000,10,100,3,cubic,49968.0
166,10000,10,100,4,bbr,15420.0
167,10000,10,100,4,cubic,16428.0
168,10000,10,100,5,bbr,16164.0
169,10000,10,100,5,cubic,22510.0
170,10000,10,10,1,bbr,15052.0
171,10000,10,10,1,cubic,14945.0
172,10000,10,10,2,bbr,14650.0
173,10000,10,10,2,cubic,14805.0
174,10000,10,10,3,bbr,15036.0
175,10000,10,10,3,cubic,14920.0
176,10000,10,10,4,bbr,14997.0
177,10000,10,10,4,cubic,14791.0
178,10000,10,10,5,bbr,15030.0
179,10000,10,10,5,cubic,14946.0
180,10000,10,150,1,bbr,17426.0
181,10000,10,150,1,cubic,30532.0
182,10000,10,150,2,bbr,17196.0
183,10000,10,150,2,cubic,28193.0
184,10000,10,150,3,bbr,17058.0
185,10000,10,150,3,cubic,39391.0
186,10000,10,150,4,bbr,16925.0
187,10000,10,150,4,cubic,52271.0
188,10000,10,150,5,bbr,17213.0
189,10000,10,150,5,cubic,89486.0
190,10000,10,200,1,bbr,17185.0
191,10000,10,200,1,cubic,84280.0
192,10000,10,200,2,bbr,17339.0
193,10000,10,200,2,cubic,39679.0
194,10000,10,200,3,bbr,18512.0
195,10000,10,200,3,cubic,84496.0
196,10000,10,200,4,bbr,16915.0
197,10000,10,200,4,cubic,83843.0
198,10000,10,200,5,bbr,17767.0
199,10000,10,200,5,cubic,84241.0
200,10000,10,25,1,bbr,14968.0
201,10000,10,25,1,cubic,16892.0
202,10000,10,25,2,bbr,14557.0
203,10000,10,25,2,cubic,36690.0
204,10000,10,25,3,bbr,14594.0
205,10000,10,25,3,cubic,17875.0
206,10000,10,25,4,bbr,14594.0
207,10000,10,25,4,cubic,21176.0
208,10000,10,25,5,bbr,14599.0
209,10000,10,25,5,cubic,30403.0
210,10000,10,50,1,bbr,14486.0
211,10000,10,50,1,cubic,81896.0
212,10000,10,50,2,bbr,14499.0
213,10000,10,50,2,cubic,41647.0
214,10000,10,50,3,bbr,14481.0
215,10000,10,50,3,cubic,61928.0
216,10000,10,50,4,bbr,14476.0
217,10000,10,50,4,cubic,82616.0
218,10000,10,50,5,bbr,14395.0
219,10000,10,50,5,cubic,54445.0
220,10000,10,5,1,bbr,15065.0
221,10000,10,5,1,cubic,15053.0
222,10000,10,5,2,bbr,14674.0
223,10000,10,5,2,cubic,14877.0
224,10000,10,5,3,bbr,15064.0
225,10000,10,5,3,cubic,14867.0
226,10000,10,5,4,bbr,15087.0
227,10000,10,5,4,cubic,14895.0
228,10000,10,5,5,bbr,14696.0
229,10000,10,5,5,cubic,15046.0
230,10000,10,75,1,bbr,16429.0
231,10000,10,75,1,cubic,52920.0
232,10000,10,75,2,bbr,16823.0
233,10000,10,75,2,cubic,88540.0
234,10000,10,75,3,bbr,14382.0
235,10000,10,75,3,cubic,72777.0
236,10000,10,75,4,bbr,16960.0
237,10000,10,75,4,cubic,34175.0
238,10000,10,75,5,bbr,17009.0
239,10000,10,75,5,cubic,72908.0
240,10000,20,100,1,bbr,25653.0
241,10000,20,100,1,cubic,23523.0
242,10000,20,100,2,bbr,25076.0
243,10000,20,100,2,cubic,102820.0
244,10000,20,100,3,bbr,24679.0
245,10000,20,100,3,cubic,85645.0
246,10000,20,100,4,bbr,24443.0
247,10000,20,100,4,cubic,104328.0
248,10000,20,100,5,bbr,24231.0
249,10000,20,100,5,cubic,49961.0
250,10000,20,10,1,bbr,24432.0
251,10000,20,10,1,cubic,24240.0
252,10000,20,10,2,bbr,24156.0
253,10000,20,10,2,cubic,24245.0
254,10000,20,10,3,bbr,24134.0
255,10000,20,10,3,cubic,24273.0
256,10000,20,10,4,bbr,24138.0
257,10000,20,10,4,cubic,24204.0
258,10000,20,10,5,bbr,24281.0
259,10000,20,10,5,cubic,24270.0
260,10000,20,150,1,bbr,26716.0
261,10000,20,150,1,cubic,62928.0
262,10000,20,150,2,bbr,25411.0
263,10000,20,150,2,cubic,69113.0
264,10000,20,150,3,bbr,25590.0
265,10000,20,150,3,cubic,64259.0
266,10000,20,150,4,bbr,27692.0
267,10000,20,150,4,cubic,79129.0
268,10000,20,150,5,bbr,27411.0
269,10000,20,150,5,cubic,59326.0
270,10000,20,200,1,bbr,25288.0
271,10000,20,200,1,cubic,83263.0
272,10000,20,200,2,bbr,24583.0
273,10000,20,200,2,cubic,31573.0
274,10000,20,200,3,bbr,25474.0
275,10000,20,200,3,cubic,82992.0
276,10000,20,200,4,bbr,25623.0
277,10000,20,200,4,cubic,64379.0
278,10000,20,200,5,bbr,25315.0
279,10000,20,200,5,cubic,47485.0
280,10000,20,25,1,bbr,24005.0
281,10000,20,25,1,cubic,34618.0
282,10000,20,25,2,bbr,23951.0
283,10000,20,25,2,cubic,35857.0
284,10000,20,25,3,bbr,23926.0
285,10000,20,25,3,cubic,47030.0
286,10000,20,25,4,bbr,23964.0
287,10000,20,25,4,cubic,32484.0
288,10000,20,25,5,bbr,23928.0
289,10000,20,25,5,cubic,27733.0
290,10000,20,50,1,bbr,23738.0
291,10000,20,50,1,cubic,92262.0
292,10000,20,50,2,bbr,23697.0
293,10000,20,50,2,cubic,44445.0
294,10000,20,50,3,bbr,23783.0
295,10000,20,50,3,cubic,67818.0
296,10000,20,50,4,bbr,23705.0
297,10000,20,50,4,cubic,57420.0
298,10000,20,50,5,bbr,23677.0
299,10000,20,50,5,cubic,61590.0
300,10000,20,5,1,bbr,24157.0
301,10000,20,5,1,cubic,24427.0
302,10000,20,5,2,bbr,24199.0
303,10000,20,5,2,cubic,24436.0
304,10000,20,5,3,bbr,24157.0
305,10000,20,5,3,cubic,24402.0
306,10000,20,5,4,bbr,24216.0
307,10000,20,5,4,cubic,24402.0
308,10000,20,5,5,bbr,24199.0
309,10000,20,5,5,cubic,24388.0
310,10000,20,75,1,bbr,26313.0
311,10000,20,75,1,cubic,82955.0
312,10000,20,75,2,bbr,23901.0
313,10000,20,75,2,cubic,56993.0
314,10000,20,75,3,bbr,23537.0
315,10000,20,75,3,cubic,70413.0
316,10000,20,75,4,bbr,26492.0
317,10000,20,75,4,cubic,59879.0
318,10000,20,75,5,bbr,23846.0
319,10000,20,75,5,cubic,51340.0
320,10000,250,100,1,bbr,230460.0
321,10000,250,100,1,cubic,203585.0
322,10000,250,100,2,bbr,232236.0
323,10000,250,100,2,cubic,204199.0
324,10000,250,100,3,bbr,232815.0
325,10000,250,100,3,cubic,203305.0
326,10000,250,100,4,bbr,232652.0
327,10000,250,100,4,cubic,202339.0
328,10000,250,100,5,bbr,231841.0
329,10000,250,100,5,cubic,203033.0
330,10000,250,10,1,bbr,240186.0
331,10000,250,10,1,cubic,240951.0
332,10000,250,10,2,bbr,240344.0
333,10000,250,10,2,cubic,240978.0
334,10000,250,10,3,bbr,240169.0
335,10000,250,10,3,cubic,240945.0
336,10000,250,10,4,bbr,240261.0
337,10000,250,10,4,cubic,240983.0
338,10000,250,10,5,bbr,240068.0
339,10000,250,10,5,cubic,240988.0
340,10000,250,150,1,bbr,155022.0
341,10000,250,150,1,cubic,128784.0
342,10000,250,150,2,bbr,155161.0
343,10000,250,150,2,cubic,128832.0
344,10000,250,150,3,bbr,156144.0
345,10000,250,150,3,cubic,110858.0
346,10000,250,150,4,bbr,155035.0
347,10000,250,150,4,cubic,129055.0
348,10000,250,150,5,bbr,155207.0
349,10000,250,150,5,cubic,129015.0
350,10000,250,200,1,bbr,113872.0
351,10000,250,200,1,cubic,82667.0
352,10000,250,200,2,bbr,116017.0
353,10000,250,200,2,cubic,83093.0
354,10000,250,200,3,bbr,114847.0
355,10000,250,200,3,cubic,82673.0
356,10000,250,200,4,bbr,115815.0
357,10000,250,200,4,cubic,84137.0
358,10000,250,200,5,bbr,117279.0
359,10000,250,200,5,cubic,85530.0
360,10000,250,25,1,bbr,238328.0
361,10000,250,25,1,cubic,245416.0
362,10000,250,25,2,bbr,238697.0
363,10000,250,25,2,cubic,238214.0
364,10000,250,25,3,bbr,238737.0
365,10000,250,25,3,cubic,246685.0
366,10000,250,25,4,bbr,238521.0
367,10000,250,25,4,cubic,237239.0
368,10000,250,25,5,bbr,238547.0
369,10000,250,25,5,cubic,246436.0
370,10000,250,50,1,bbr,235677.0
371,10000,250,50,1,cubic,253158.0
372,10000,250,50,2,bbr,235711.0
373,10000,250,50,2,cubic,237788.0
374,10000,250,50,3,bbr,235526.0
375,10000,250,50,3,cubic,226918.0
376,10000,250,50,4,bbr,235391.0
377,10000,250,50,4,cubic,234080.0
378,10000,250,50,5,bbr,235714.0
379,10000,250,50,5,cubic,271240.0
380,10000,250,5,1,bbr,240698.0
381,10000,250,5,1,cubic,242985.0
382,10000,250,5,2,bbr,240764.0
383,10000,250,5,2,cubic,243019.0
384,10000,250,5,3,bbr,240703.0
385,10000,250,5,3,cubic,243006.0
386,10000,250,5,4,bbr,240735.0
387,10000,250,5,4,cubic,243030.0
388,10000,250,5,5,bbr,240715.0
389,10000,250,5,5,cubic,243002.0
390,10000,250,75,1,bbr,233824.0
391,10000,250,75,1,cubic,221577.0
392,10000,250,75,2,bbr,233973.0
393,10000,250,75,2,cubic,234871.0
394,10000,250,75,3,bbr,233164.0
395,10000,250,75,3,cubic,229278.0
396,10000,250,75,4,bbr,233152.0
397,10000,250,75,4,cubic,224399.0
398,10000,250,75,5,bbr,233983.0
399,10000,250,75,5,cubic,224549.0
400,10000,500,100,1,bbr,235855.0
401,10000,500,100,1,cubic,229740.0
402,10000,500,100,2,bbr,235643.0
403,10000,500,100,2,cubic,207309.0
404,10000,500,100,3,bbr,236237.0
405,10000,500,100,3,cubic,241352.0
406,10000,500,100,4,bbr,237060.0
407,10000,500,100,4,cubic,229116.0
408,10000,500,100,5,bbr,235892.0
409,10000,500,100,5,cubic,220854.0
410,10000,500,10,1,bbr,475181.0
411,10000,500,10,1,cubic,476418.0
412,10000,500,10,2,bbr,475064.0
413,10000,500,10,2,cubic,476431.0
414,10000,500,10,3,bbr,475267.0
415,10000,500,10,3,cubic,476364.0
416,10000,500,10,4,bbr,474968.0
417,10000,500,10,4,cubic,476430.0
418,10000,500,10,5,bbr,474965.0
419,10000,500,10,5,cubic,482818.0
420,10000,500,150,1,bbr,156351.0
421,10000,500,150,1,cubic,159678.0
422,10000,500,150,2,bbr,155359.0
423,10000,500,150,2,cubic,139576.0
424,10000,500,150,3,bbr,153759.0
425,10000,500,150,3,cubic,160083.0
426,10000,500,150,4,bbr,155191.0
427,10000,500,150,4,cubic,159990.0
428,10000,500,150,5,bbr,156222.0
429,10000,500,150,5,cubic,154477.0
430,10000,500,200,1,bbr,115820.0
431,10000,500,200,1,cubic,102704.0
432,10000,500,200,2,bbr,114292.0
433,10000,500,200,2,cubic,100797.0
434,10000,500,200,3,bbr,115207.0
435,10000,500,200,3,cubic,119504.0
436,10000,500,200,4,bbr,114888.0
437,10000,500,200,4,cubic,118294.0
438,10000,500,200,5,bbr,116285.0
439,10000,500,200,5,cubic,119329.0
440,10000,500,25,1,bbr,471500.0
441,10000,500,25,1,cubic,479851.0
442,10000,500,25,2,bbr,471623.0
443,10000,500,25,2,cubic,487000.0
444,10000,500,25,3,bbr,471876.0
445,10000,500,25,3,cubic,480466.0
446,10000,500,25,4,bbr,471847.0
447,10000,500,25,4,cubic,483828.0
448,10000,500,25,5,bbr,471457.0
449,10000,500,25,5,cubic,483520.0
450,10000,500,50,1,bbr,469417.0
451,10000,500,50,1,cubic,429904.0
452,10000,500,50,2,bbr,469382.0
453,10000,500,50,2,cubic,476186.0
454,10000,500,50,3,bbr,470502.0
455,10000,500,50,3,cubic,446882.0
456,10000,500,50,4,bbr,469416.0
457,10000,500,50,4,cubic,423247.0
458,10000,500,50,5,bbr,469744.0
459,10000,500,50,5,cubic,381730.0
460,10000,500,5,1,bbr,476062.0
461,10000,500,5,1,cubic,480432.0
462,10000,500,5,2,bbr,475910.0
463,10000,500,5,2,cubic,480371.0
464,10000,500,5,3,bbr,476432.0
465,10000,500,5,3,cubic,480490.0
466,10000,500,5,4,bbr,475924.0
467,10000,500,5,4,cubic,480464.0
468,10000,500,5,5,bbr,475927.0
469,10000,500,5,5,cubic,480494.0
470,10000,500,75,1,bbr,316007.0
471,10000,500,75,1,cubic,280588.0
472,10000,500,75,2,bbr,316163.0
473,10000,500,75,2,cubic,288765.0
474,10000,500,75,3,bbr,315991.0
475,10000,500,75,3,cubic,261868.0
476,10000,500,75,4,bbr,317615.0
477,10000,500,75,4,cubic,306455.0
478,10000,500,75,5,bbr,316024.0
479,10000,500,75,5,cubic,277409.0
480,10000,50,100,1,bbr,51992.0
481,10000,50,100,1,cubic,47702.0
482,10000,50,100,2,bbr,51293.0
483,10000,50,100,2,cubic,47499.0
484,10000,50,100,3,bbr,51898.0
485,10000,50,100,3,cubic,134372.0
486,10000,50,100,4,bbr,51580.0
487,10000,50,100,4,cubic,81610.0
488,10000,50,100,5,bbr,51645.0
489,10000,50,100,5,cubic,48465.0
490,10000,50,10,1,bbr,52291.0
491,10000,50,10,1,cubic,52597.0
492,10000,50,10,2,bbr,52331.0
493,10000,50,10,2,cubic,52599.0
494,10000,50,10,3,bbr,52308.0
495,10000,50,10,3,cubic,52572.0
496,10000,50,10,4,bbr,52380.0
497,10000,50,10,4,cubic,52589.0
498,10000,50,10,5,bbr,52383.0
499,10000,50,10,5,cubic,52549.0
500,10000,50,150,1,bbr,51695.0
501,10000,50,150,1,cubic,69724.0
502,10000,50,150,2,bbr,51610.0
503,10000,50,150,2,cubic,61752.0
504,10000,50,150,3,bbr,51893.0
505,10000,50,150,3,cubic,59211.0
506,10000,50,150,4,bbr,51173.0
507,10000,50,150,4,cubic,80070.0
508,10000,50,150,5,bbr,51391.0
509,10000,50,150,5,cubic,65333.0
510,10000,50,200,1,bbr,50042.0
511,10000,50,200,1,cubic,84564.0
512,10000,50,200,2,bbr,49996.0
513,10000,50,200,2,cubic,83305.0
514,10000,50,200,3,bbr,50723.0
515,10000,50,200,3,cubic,81260.0
516,10000,50,200,4,bbr,51092.0
517,10000,50,200,4,cubic,81539.0
518,10000,50,200,5,bbr,50806.0
519,10000,50,200,5,cubic,82374.0
520,10000,50,25,1,bbr,52029.0
521,10000,50,25,1,cubic,64466.0
522,10000,50,25,2,bbr,51978.0
523,10000,50,25,2,cubic,71905.0
524,10000,50,25,3,bbr,51915.0
525,10000,50,25,3,cubic,67395.0
526,10000,50,25,4,bbr,51972.0
527,10000,50,25,4,cubic,55271.0
528,10000,50,25,5,bbr,51908.0
529,10000,50,25,5,cubic,60884.0
530,10000,50,50,1,bbr,51347.0
531,10000,50,50,1,cubic,113848.0
532,10000,50,50,2,bbr,51436.0
533,10000,50,50,2,cubic,77748.0
534,10000,50,50,3,bbr,51401.0
535,10000,50,50,3,cubic,91295.0
536,10000,50,50,4,bbr,51391.0
537,10000,50,50,4,cubic,76129.0
538,10000,50,50,5,bbr,51423.0
539,10000,50,50,5,cubic,75405.0
540,10000,50,5,1,bbr,52415.0
541,10000,50,5,1,cubic,53022.0
542,10000,50,5,2,bbr,52516.0
543,10000,50,5,2,cubic,52989.0
544,10000,50,5,3,bbr,52480.0
545,10000,50,5,3,cubic,52997.0
546,10000,50,5,4,bbr,52473.0
547,10000,50,5,4,cubic,53013.0
548,10000,50,5,5,bbr,52419.0
549,10000,50,5,5,cubic,52972.0
550,10000,50,75,1,bbr,52498.0
551,10000,50,75,1,cubic,71150.0
552,10000,50,75,2,bbr,53261.0
553,10000,50,75,2,cubic,74319.0
554,10000,50,75,3,bbr,52276.0
555,10000,50,75,3,cubic,69335.0
556,10000,50,75,4,bbr,53718.0
557,10000,50,75,4,cubic,99110.0
558,10000,50,75,5,bbr,52594.0
559,10000,50,75,5,cubic,78108.0
560,10000,750,100,1,bbr,234655.0
561,10000,750,100,1,cubic,223925.0
562,10000,750,100,2,bbr,236197.0
563,10000,750,100,2,cubic,241446.0
564,10000,750,100,3,bbr,236545.0
565,10000,750,100,3,cubic,239306.0
566,10000,750,100,4,bbr,235749.0
567,10000,750,100,4,cubic,224912.0
568,10000,750,100,5,bbr,236447.0
569,10000,750,100,5,cubic,241022.0
570,10000,750,10,1,bbr,709638.0
571,10000,750,10,1,cubic,721691.0
572,10000,750,10,2,bbr,709385.0
573,10000,750,10,2,cubic,721881.0
574,10000,750,10,3,bbr,709339.0
575,10000,750,10,3,cubic,720870.0
576,10000,750,10,4,bbr,709407.0
577,10000,750,10,4,cubic,721823.0
578,10000,750,10,5,bbr,709397.0
579,10000,750,10,5,cubic,721765.0
580,10000,750,150,1,bbr,153792.0
581,10000,750,150,1,cubic,150127.0
582,10000,750,150,2,bbr,156256.0
583,10000,750,150,2,cubic,150449.0
584,10000,750,150,3,bbr,153700.0
585,10000,750,150,3,cubic,151317.0
586,10000,750,150,4,bbr,156444.0
587,10000,750,150,4,cubic,159578.0
588,10000,750,150,5,bbr,155257.0
589,10000,750,150,5,cubic,159990.0
590,10000,750,200,1,bbr,115055.0
591,10000,750,200,1,cubic,104164.0
592,10000,750,200,2,bbr,115852.0
593,10000,750,200,2,cubic,101189.0
594,10000,750,200,3,bbr,114116.0
595,10000,750,200,3,cubic,98086.0
596,10000,750,200,4,bbr,114468.0
597,10000,750,200,4,cubic,91458.0
598,10000,750,200,5,bbr,116142.0
599,10000,750,200,5,cubic,101134.0
600,10000,750,25,1,bbr,705249.0
601,10000,750,25,1,cubic,695152.0
602,10000,750,25,2,bbr,704653.0
603,10000,750,25,2,cubic,712737.0
604,10000,750,25,3,bbr,704409.0
605,10000,750,25,3,cubic,721958.0
606,10000,750,25,4,bbr,705064.0
607,10000,750,25,4,cubic,639341.0
608,10000,750,25,5,bbr,704637.0
609,10000,750,25,5,cubic,678063.0
610,10000,750,50,1,bbr,474651.0
611,10000,750,50,1,cubic,481930.0
612,10000,750,50,2,bbr,472559.0
613,10000,750,50,2,cubic,482099.0
614,10000,750,50,3,bbr,472795.0
615,10000,750,50,3,cubic,445860.0
616,10000,750,50,4,bbr,475163.0
617,10000,750,50,4,cubic,481872.0
618,10000,750,50,5,bbr,472139.0
619,10000,750,50,5,cubic,481591.0
620,10000,750,5,1,bbr,710741.0
621,10000,750,5,1,cubic,721923.0
622,10000,750,5,2,bbr,710837.0
623,10000,750,5,2,cubic,722694.0
624,10000,750,5,3,bbr,710850.0
